URL,Agency,Vendor Name,Reference Number,Contract Date,Description of Work,Contract Period,Something,Contract Value,Comments
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39047.html,Office of the Auditor General of Canada,DNR CONSULTING GROUP,P1400400,2013-10-01,1282 Computer Equipment - Servers (includes related parts and peripherals),2013-10-18 to 2013-10-18,,43900.76,Purchase of Network equipment. Contract awarded through a Public Works and Government Services Canada (PWGSC) Standing Offer.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39067.html,Office of the Auditor General of Canada,MORTON ROSS,P1400393,2013-10-09,0401 Accounting and audit services,2013-10-09 to 2014-03-31,,11300,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39074.html,Office of the Auditor General of Canada,GOSS GILROY INC.,P1400335,2013-10-09,0401 Accounting and audit services,2013-08-01 to 2014-08-31,,17289,"Original value was $7,684.00. This Contract includes one or more amendments.  Extent of work was increased, Contract subsequently amended to $17,289.00."
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39058.html,Office of the Auditor General of Canada,ERNST &amp; YOUNG LLP,P1400406,2013-10-10,0401 Accounting and audit services,2013-10-15 to 2014-02-28,,21501.64,Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39049.html,Office of the Auditor General of Canada,CORPORATE EXPRESS CANADA INC.,P1400411,2013-10-15,1172 Office and stationers supplies,2013-10-15 to 2013-10-15,,24860,Purchase of miscellaneous office supplies. Contract awarded through a Public Works and Government Services Canada (PWGSC) Standing Offer.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39065.html,Office of the Auditor General of Canada,GEOLITHUM,P1400426,2013-10-17,0351 Communications professional services not elsewhere specified,2013-10-21 to 2014-03-31,,12995,Editorial services for various Office reports and documents. Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39045.html,Office of the Auditor General of Canada,ERNST &amp; YOUNG LLP,P1400424,2013-10-21,0401 Accounting and audit services,2013-10-21 to 2015-09-14,,52491.89,Contract awarded through a competitive process (OAG Standing Offer).
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39063.html,Office of the Auditor General of Canada,ARCADIS SENES CANADA INC.,P1400418,2013-10-22,0401 Accounting and audit services,2013-10-23 to 2014-05-14,,15669.9,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39060.html,Office of the Auditor General of Canada,163904 CANADA INC.,P1400436,2013-10-23,0401 Accounting and audit services,2013-10-28 to 2014-03-31,,20340,
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39041.html,Office of the Auditor General of Canada,DELL CANADA INC.,P1400412,2013-10-23,1282 Computer Equipment - Servers (includes related parts and peripherals),2013-10-31 to 2013-10-31,,87825.18,Purchase of Network equipment. Contract awarded through a Public Works and Government Services Canada (PWGSC) Standing Offer.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39061.html,Office of the Auditor General of Canada,MEDISYS CORPORATE HEALTH LP,P1400431,2013-10-24,0453 Physicians and surgeons,2013-11-01 to 2015-12-31,,16950,Flu shot clinics. Contract awarded through a competitive process
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39054.html,Office of the Auditor General of Canada,INTERIS CONSULTING INC,P1400444,2013-11-05,0491 Management consulting,2013-11-05 to 2013-12-31,,22769.5,Workshop on Performance Measurement and Management. Contract awarded through a competitive process .
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39056.html,Office of the Auditor General of Canada,FORRESTER SWITZERLAND GMBH,P1400450,2013-11-13,0473 Information Technology and Telecommunications Consultants,2013-11-13 to 2013-12-31,,22577.4,Contract awarded through a competitive process .
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39066.html,Office of the Auditor General of Canada,"ROUTLIFFE, ARTHUR",P1400454,2013-11-14,0473 Information Technology and Telecommunications Consultants,2013-11-18 to 2013-12-31,,12305.7,Member of an evalaution committee.
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39052.html,Office of the Auditor General of Canada,ART DESIGN INTERNATIONAL INC,P1400455,2013-11-15,"1231 Office furniture and furnishings, including parts",2013-12-15 to 2013-12-15,,24470.38,Ergonomic task chairs for staff. Contract awarded through a Public Works and Government Services Canada (PWGSC) Standing Offer
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39051.html,Office of the Auditor General of Canada,IASEMINARS LTD.,P1400458,2013-11-18,0446 Training consultants,2013-11-20 to 2013-12-19,,24500.1,International Public Sector Accounting Standards
http://www.oag-bvg.gc.ca/internet/English/con_2013-2014_Q3_e_39062.html,Office of the Auditor General of Canada,CENTER FOR INTERNET SECURITY,P1400466,2013-11-27,0582 License/Maintenance fees for Client Software,2013-12-01 to 2013-12-01,,16302.15,Security software maintenance.
